0	0.000000	0.000000
1	0.000000	0.000000
2	0.000000	0.000000
3	3.000000	0.000000
4	3.000000	0.000000
5	2.000000	4.000000
6	2.000000	4.000000
7	2.000000	4.000000
8	3.333333	3.000000
9	3.333333	3.000000
10	3.333333	4.000000
11	4.200000	4.000000
12	3.833333	4.000000
13	3.571429	4.000000
14	3.571429	5.000000
15	4.500000	5.000000
16	4.333333	4.285714
17	4.800000	3.875000
18	4.800000	3.555556
19	4.800000	3.555556
20	5.272727	3.555556
21	5.272727	3.555556
22	5.846154	3.600000
23	6.928571	3.600000
24	6.928571	3.600000
25	6.928571	3.600000
26	6.928571	4.545455
27	7.600000	4.545455
28	8.187500	4.545455
29	8.187500	4.545455
30	8.187500	4.916667
31	8.294118	4.916667
32	8.294118	5.307693
33	8.722222	5.307693
34	8.450000	5.307693
35	8.450000	5.307693
36	8.450000	5.357143
37	8.450000	5.533333
38	8.450000	5.562500
39	8.450000	5.562500
